nodes expanded: 1339
nodes in solution: 387
000,100951
201,98950
100,99951
301,97950
200,98951
401,96950
300,97951
501,95950
400,96951
511,95940
410,96941
611,94940
510,95941
621,94930
520,95931
721,93930
620,94931
731,93920
630,94921
831,92920
730,93921
751,93900
650,94901
851,92900
750,93901
951,91900
850,92901
1051,90900
950,91901
1061,90890
960,91891
1161,89890
1060,90891
1171,89880
1070,90881
1271,88880
1170,89881
1281,88870
1180,89871
1381,87870
1280,88871
1391,87860
1290,88861
1491,86860
1390,87861
14101,86850
13100,87851
15101,85850
14100,86851
15111,85840
14110,86841
16111,84840
15110,85841
15131,85820
14130,86821
16131,84820
15130,85821
17131,83820
16130,84821
18131,82820
17130,83821
18141,82810
17140,83811
19141,81810
18140,82811
19151,81800
18150,82801
20151,80800
19150,81801
20161,80790
19160,81791
21161,79790
20160,80791
21171,79780
20170,80781
22171,78780
21170,79781
22181,78770
21180,79771
23181,77770
22180,78771
23191,77760
22190,78761
24191,76760
23190,77761
24201,76750
23200,77751
25201,75750
24200,76751
25211,75740
24210,76741
26211,74740
25210,75741
26221,74730
25220,75731
27221,73730
26220,74731
27231,73720
26230,74721
28231,72720
27230,73721
28241,72710
27240,73711
29241,71710
28240,72711
28261,72690
27260,73691
29261,71690
28260,72691
30261,70690
29260,71691
31261,69690
30260,70691
30281,70670
29280,71671
31281,69670
30280,70671
32281,68670
31280,69671
33281,67670
32280,68671
32301,68650
31300,69651
33301,67650
32300,68651
34301,66650
33300,67651
35301,65650
34300,66651
34321,66630
33320,67631
35321,65630
34320,66631
36321,64630
35320,65631
37321,63630
36320,64631
37331,63620
37320,63631
38331,62620
37330,63621
37351,63600
36350,64601
38351,62600
37350,63601
39351,61600
38350,62601
39361,61590
38360,62591
40361,60590
39360,61591
41361,59590
40360,60591
41371,59580
41360,59591
42371,58580
41370,59581
41391,59560
40390,60561
42391,58560
41390,59561
43391,57560
42390,58561
44391,56560
43390,57561
43411,57540
42410,58541
44411,56540
43410,57541
45411,55540
44410,56541
46411,54540
45410,55541
45431,55520
44430,56521
46431,54520
45430,55521
47431,53520
46430,54521
48431,52520
47430,53521
47451,53500
46450,54501
48451,52500
47450,53501
49451,51500
48450,52501
50451,50500
49450,51501
49471,51480
48470,52481
50471,50480
49470,51481
51471,49480
50470,50481
52471,48480
51470,49481
51491,49460
50490,50461
52491,48460
51490,49461
53491,47460
52490,48461
54491,46460
53490,47461
54501,46450
54490,46461
55501,45450
54500,46451
54521,46430
53520,47431
55521,45430
54520,46431
56521,44430
55520,45431
56531,44420
55530,45421
57531,43420
56530,44421
58531,42420
57530,43421
58541,42410
58530,42421
59541,41410
58540,42411
58561,42390
57560,43391
59561,41390
58560,42391
60561,40390
59560,41391
61561,39390
60560,40391
60581,40370
59580,41371
61581,39370
60580,40371
62581,38370
61580,39371
63581,37370
62580,38371
62601,38350
61600,39351
63601,37350
62600,38351
64601,36350
63600,37351
65601,35350
64600,36351
64621,36330
63620,37331
65621,35330
64620,36331
66621,34330
65620,35331
67621,33330
66620,34331
66641,34310
65640,35311
67641,33310
66640,34311
68641,32310
67640,33311
69641,31310
68640,32311
68661,32290
67660,33291
69661,31290
68660,32291
70661,30290
69660,31291
71661,29290
70660,30291
71671,29280
71660,29291
72671,28280
71670,29281
71691,29260
70690,30261
72691,28260
71690,29261
73691,27260
72690,28261
73701,27250
72700,28251
74701,26250
73700,27251
75701,25250
74700,26251
75711,25240
75700,25251
76711,24240
75710,25241
75731,25220
74730,26221
76731,24220
75730,25221
77731,23220
76730,24221
78731,22220
77730,23221
77751,23200
76750,24201
78751,22200
77750,23201
79751,21200
78750,22201
80751,20200
79750,21201
79771,21180
78770,22181
80771,20180
79770,21181
81771,19180
80770,20181
82771,18180
81770,19181
81791,19160
80790,20161
82791,18160
81790,19161
83791,17160
82790,18161
84791,16160
83790,17161
83811,17140
82810,18141
84811,16140
83810,17141
85811,15140
84810,16141
86811,14140
85810,15141
85831,15120
84830,16121
86831,14120
85830,15121
87831,13120
86830,14121
88831,12120
87830,13121
88841,12110
88830,12121
89841,11110
88840,12111
88861,1290
87860,1391
89861,1190
88860,1291
90861,1090
89860,1191
90871,1080
89870,1181
91871,980
90870,1081
92871,880
91870,981
92881,870
92870,881
93881,770
92880,871
92901,850
91900,951
93901,750
92900,851
94901,650
93900,751
95901,550
94900,651
94921,630
93920,731
95921,530
94920,631
96921,430
95920,531
97921,330
96920,431
96941,410
95940,511
97941,310
96940,411
98941,210
97940,311
99941,110
98940,211
100941,010
99940,111
100951,000
